dimension, tiempo, cpu
10, 0.105, 99.800
110, 0.204, 304.000
210, 0.382, 336.600
310, 1.230, 387.400
410, 1.333, 392.100
510, 2.253, 396.400
610, 3.962, 405.500
710, 6.097, 406.200
810, 13.753, 408.700
910, 14.851, 403.900
1010, 25.402, 405.900
1110, 22.887, 407.500
1210, 30.170, 406.300
1310, 37.988, 426.500
1410, 49.902, 474.000
1510, 66.236, 565.400
1610, 78.513, 423.400
1710, 103.684, 408.500
1810, 126.831, 822.400
1910, 141.790, 1569.100
2010, 182.908, 1383.600
