dimension, tiempo, cpu
10, 0.102, 102.000
110, 0.102, 108.100
210, 0.311, 117.100
310, 1.040, 126.600
410, 2.365, 161.100
510, 4.467, 151.300
610, 6.842, 159.800
710, 11.701, 178.800
810, 27.682, 204.700
910, 31.451, 248.900
1010, 40.432, 275.800
1110, 47.962, 281.800
1210, 65.698, 283.300
1310, 91.263, 250.100
1410, 117.311, 386.400
1510, 134.413, 391.700
1610, 156.490, 401.600
1710, 206.140, 389.300
1810, 242.072, 383.100
1910, 265.144, 389.800
2010, 301.918, 405.400
