1.408,1391016,0,1.9890000000000002e+30,0,Sol
5.44,4879.4,57910000,3.3020000000000006e+23,1,Mercurio
5.24,12104,108200000,4.867e+24,2,Venus
5.51,12742,149600000,5.972e+24,3,Tierra
3.93,6779,227900000,6.39e+23,4,Marte
1.33,139822,778500000,1.898e+27,5,Jupiter
687,116464,1433000000,5.683e+26,6,Saturno
1.27,50724,2871000000,8.681e+25,7,Urano
1.64,49244,4495000000,1.0240000000000001e+26,8,Neptuno
